iter	Passed	Remaining
0	0	97
1	1	87
2	2	87
3	3	91
4	5	110
5	7	109
6	8	107
7	9	106
8	10	105
9	11	103
10	12	101
11	13	101
12	14	99
13	16	100
14	17	99
15	18	98
16	20	98
17	21	96
18	22	95
19	23	95
20	24	93
21	27	98
22	28	96
23	29	94
24	30	92
25	31	89
26	32	89
27	33	87
28	35	86
29	36	84
30	37	82
31	38	81
32	39	80
33	40	78
34	41	77
35	42	75
36	43	73
37	44	72
38	45	70
39	46	69
40	47	67
41	47	65
42	48	64
43	49	63
44	50	61
45	51	60
46	52	58
47	52	57
48	53	55
49	54	54
50	56	53
51	60	55
52	62	55
53	63	53
54	63	52
55	64	50
56	65	49
57	66	48
58	67	47
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	78	32
71	79	31
72	80	29
73	81	28
74	82	27
75	82	26
76	83	25
77	85	24
78	85	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	92	15
86	93	13
87	94	12
88	94	11
89	95	10
90	96	9
91	96	8
92	97	7
93	98	6
94	98	5
95	99	4
96	100	3
97	101	2
98	101	1
99	102	0
